"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2691","ENSRNOG00000005390","Nup210",45.29715769,-4.997983158,0.495283094,-10.09116447,6.04e-24,3.5e-23
"2700","ENSRNOG00000005407","unkown",8.901835665,-2.023088266,0.707786666,-2.858330574,0.004258765,0.008561576
"2702","ENSRNOG00000005410","Cdca7l",164.2272406,-2.869426033,0.15867035,-18.08419799,4.24e-73,6.06e-72
"2704","ENSRNOG00000005412","Olr813",8.12742968,-2.809282182,0.916821438,-3.064154115,0.002182864,0.004552106
"2769","ENSRNOG00000005574","Adamts8",193.8086374,-4.459147617,0.257373174,-17.32561146,3.01e-67,3.98e-66
"2785","ENSRNOG00000005615","Gadd45a",2643.99527,-3.055334505,0.071690747,-42.61825443,0,0
"2802","ENSRNOG00000005659","Aurkb",885.2730269,-2.301359731,0.081428746,-28.26225202,1.01e-175,3.86e-174
"2838","ENSRNOG00000005727","Galnt3",178.0405164,-3.419950371,0.188926604,-18.10200526,3.07e-73,4.4e-72
"2848","ENSRNOG00000005758","Btbd11",58.78967017,-3.250930798,0.26605831,-12.21886587,2.46e-34,1.88e-33
"2895","ENSRNOG00000005872","Tcf7",664.6940248,-2.821179381,0.116744914,-24.16533017,5.15e-129,1.34e-127
"2913","ENSRNOG00000005911","Rln3",3.563102069,-2.983563839,1.184224666,-2.519423826,0.011754707,0.022146894
"2928","ENSRNOG00000005936","Foxm1",615.8562226,-2.388451374,0.089933766,-26.55789353,2.08e-155,6.83e-154
"2930","ENSRNOG00000005944","Slurp1",12.47372658,-2.427507774,0.471214782,-5.151595124,2.58e-07,7.56e-07
"2949","ENSRNOG00000005985","Kcnma1",8.367495278,-3.461531179,1.327406033,-2.607741031,0.009114188,0.01749519
"2960","ENSRNOG00000006003","Ctnna2",2.017977977,-4.078800229,1.515449356,-2.691479073,0.007113596,0.013890718
"2963","ENSRNOG00000006019","G0s2",468.3934788,-4.176690937,0.226390009,-18.44909567,5.3e-76,7.82e-75
"2964","ENSRNOG00000006025","Lamb3",1129.016102,-3.045982295,0.081332005,-37.45121372,5.74e-307,4.91e-305
"2993","ENSRNOG00000006096","Slc26a7",31.68855206,-2.949331672,0.40199717,-7.336697598,2.19e-13,8.82e-13
"3019","ENSRNOG00000006170","Bach2",6.032778362,-3.093795545,1.207415489,-2.562328853,0.010397282,0.019746899
"3025","ENSRNOG00000006198","Prr11",265.7500416,-2.657612441,0.15718506,-16.90753844,3.96e-64,4.97e-63
"3039","ENSRNOG00000006236","Dsn1",923.5460659,-2.346456174,0.088028437,-26.65566088,1.54e-156,5.13e-155
"3082","ENSRNOG00000006350","Tle6",7.53836212,-3.656375629,0.954930279,-3.828945116,0.000128694,0.000305525
"3091","ENSRNOG00000006368","Lrrn3",8.511636198,-2.552850733,0.778806942,-3.277899305,0.001045827,0.002265513
"3127","ENSRNOG00000006470","Camk1g",99.71088328,-6.688444132,0.601956499,-11.11117521,1.11e-28,7.27e-28
"3199","ENSRNOG00000006645","unkown",63.96708038,-2.945366934,0.225933975,-13.03640556,7.6e-39,6.34e-38
"3223","ENSRNOG00000006715","unkown",17.5039628,-3.657932093,0.577399897,-6.335179673,2.37e-10,8.31e-10
