"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3248","ENSRNOG00000006761","Sh3gl2",8.248166662,3.437124204,0.61091555,5.626185493,1.84e-08,5.79e-08
"3258","ENSRNOG00000006783","Neb",250.9022608,2.154717991,0.234580366,9.185414901,4.1e-20,2.11e-19
"3370","ENSRNOG00000007003","Mei1",46.76283759,4.180803986,0.30974471,13.49757995,1.62e-41,1.42e-40
"3384","ENSRNOG00000007034","Hipk2",886.3678751,2.349433275,0.289957374,8.102685026,5.38e-16,2.41e-15
"3398","ENSRNOG00000007057","Csmd2",11.75956704,6.528955482,1.082777076,6.02982426,1.64e-09,5.48e-09
"3402","ENSRNOG00000007062","Rin3",837.8044206,2.226855786,0.093774444,23.74693681,1.18e-124,2.91e-123
"3410","ENSRNOG00000007081","Xdh",5095.96729,5.260382609,0.059844869,87.90031162,0,0
"3457","ENSRNOG00000007178","Cd8a",9.630048747,4.510509361,0.728956514,6.187624737,6.11e-10,2.09e-09
"3462","ENSRNOG00000007202","Sema3d",1184.788707,3.744861254,0.116784318,32.06647351,1.29e-225,7e-224
"3493","ENSRNOG00000007261","Gli2",95.07779019,2.038262466,0.197512933,10.31964053,5.74e-25,3.43e-24
"3552","ENSRNOG00000007377","Slit3",1845.604903,2.119735571,0.109590805,19.34227579,2.37e-83,3.83e-82
"3554","ENSRNOG00000007387","Per1",891.669066,2.597262222,0.086107346,30.16307354,7.23e-200,3.4e-198
"3555","ENSRNOG00000007390","Nfkbia",685.8131347,2.12372802,0.09935463,21.37522959,2.27e-101,4.47e-100
"3580","ENSRNOG00000007433","Cyb561",13.74140497,3.09434223,0.449347047,6.886308141,5.73e-12,2.17e-11
"3595","ENSRNOG00000007457","Serping1",144.5287323,4.768337004,0.212653476,22.42303815,2.35e-111,5.13e-110
"3605","ENSRNOG00000007484","Ehf",2.38697817,5.5697448,1.693899689,3.28811962,0.00100859,0.002189424
"3639","ENSRNOG00000007551","Patj",620.4686074,2.518273997,0.099102474,25.41080863,1.92e-142,5.61e-141
"3656","ENSRNOG00000007587","Tcp11l2",474.9359979,2.259915432,0.102205673,22.11144806,2.45e-108,5.21e-107
"3677","ENSRNOG00000007637","Acer2",12.48866902,4.024057127,0.514828883,7.816300248,5.44e-15,2.34e-14
"3699","ENSRNOG00000007680","Fhl5",28.61820436,3.870358048,0.433029844,8.937855215,3.97e-19,1.98e-18
"3731","ENSRNOG00000007743","Mgst1",21.10328376,2.215717746,0.332249073,6.668845525,2.58e-11,9.44e-11
"3779","ENSRNOG00000007837","Acot11",129.5700237,2.076349942,0.141087945,14.71670697,5.04e-49,5.06e-48
"3802","ENSRNOG00000007886","Orm1",21.01030571,9.729152602,1.214905987,8.008152651,1.16e-15,5.14e-15
"3809","ENSRNOG00000007896","Klhl38",13.3960034,4.323791149,0.575776705,7.509493016,5.94e-14,2.45e-13
"3818","ENSRNOG00000007918","Tbxas1",3.443500843,4.112477025,1.036809905,3.966471582,7.29e-05,0.000177117
"3822","ENSRNOG00000007923","Cgref1",1201.273678,2.791747102,0.057912941,48.20592837,0,0
"3835","ENSRNOG00000007947","Fam13a",58.02042666,2.919589386,0.227511869,12.83269043,1.08e-37,8.76e-37
"3839","ENSRNOG00000007955","Timp4",6.599653005,4.918168471,0.983714864,4.999587435,5.75e-07,1.64e-06
"3842","ENSRNOG00000007964","Tp53inp1",341.4869162,2.042373277,0.176126503,11.59605872,4.31e-31,3.01e-30
"3855","ENSRNOG00000007989","Chst1",54.53321832,2.942154777,0.263164976,11.1798873,5.12e-29,3.39e-28
"3860","ENSRNOG00000007999","Abra",4.763644513,2.587139957,0.874227508,2.95934403,0.003082947,0.006314103
"3895","ENSRNOG00000008057","Krt7",300.7908003,5.52657747,0.15130871,36.52517735,4.42e-292,3.57e-290
"3910","ENSRNOG00000008086","Dpf3",3.488661446,2.040182902,0.921666588,2.213580192,0.026857671,0.047811882
"3928","ENSRNOG00000008116","Plpp3",237.2528588,3.295941859,0.140053729,23.5334102,1.86e-122,4.44e-121
"3950","ENSRNOG00000008157","Syn2",1.901551948,4.784514251,1.78731679,2.676925702,0.007430111,0.014455831
"4053","ENSRNOG00000008373","Colec11",8.13567723,8.260891787,1.278651066,6.460630272,1.04e-10,3.72e-10
"4138","ENSRNOG00000008543","Pdlim2",1667.398563,2.051312063,0.082293683,24.92672576,3.82e-137,1.07e-135
"4165","ENSRNOG00000008591","Colec10",1.953331261,4.904060185,1.483926216,3.304787078,0.000950486,0.002067716
"4228","ENSRNOG00000008697","Ccn3",4085.93693,5.494683868,0.058420278,94.05439492,0,0
"4246","ENSRNOG00000008736","Slamf8",5.038917759,2.024311712,0.752639565,2.689616392,0.00715342,0.013958257
"4289","ENSRNOG00000008829","Sorbs3",1122.042593,2.317046439,0.065063492,35.61208214,9.11e-278,6.72e-276
"4293","ENSRNOG00000008837","Ass1",13.4304739,2.163191073,0.3955997,5.468131222,4.55e-08,1.4e-07
"4304","ENSRNOG00000008855","Gjb2",61.77541276,6.63367321,0.437546082,15.16108469,6.4e-52,6.76e-51
"4313","ENSRNOG00000008871","Sdr16c5",14.88330524,7.343922478,1.087663602,6.752016398,1.46e-11,5.4e-11
"4351","ENSRNOG00000008943","Penk",41032.20651,3.741117097,0.070987215,52.70128006,0,0
"4364","ENSRNOG00000008965","Socs2",63.56348285,2.810882332,0.24594037,11.42912135,2.99e-30,2.04e-29
"4383","ENSRNOG00000009005","Slco2a1",2057.587233,4.61366467,0.100870307,45.73858084,0,0
"4396","ENSRNOG00000009033","Cntn2",148.9601217,3.298240906,0.233715884,14.11218118,3.2e-45,2.99e-44
"4432","ENSRNOG00000009096","Pon3",2.368965089,2.586513046,1.022028259,2.530764706,0.011381417,0.021489147
"4445","ENSRNOG00000009118","Pou2f3",1.712399737,3.940511608,1.527936952,2.578975266,0.009909388,0.018914605
"4485","ENSRNOG00000009204","Il17re",570.1589358,4.635691583,0.09674483,47.91668527,0,0
"4493","ENSRNOG00000009219","Hepacam",6.508771463,3.080012037,0.697001596,4.418945461,9.92e-06,2.58e-05
"4547","ENSRNOG00000009311","Fstl3",920.0675066,2.3527375,0.066153437,35.56485636,4.9e-277,3.58e-275
"4654","ENSRNOG00000009528","Sdcbp2",56.22363123,4.171479861,0.258296398,16.14997305,1.14e-58,1.34e-57
"4673","ENSRNOG00000009565","Pdk4",93.57260241,3.285551819,0.185196033,17.74094055,2.03e-70,2.8e-69
"4689","ENSRNOG00000009589","Angptl7",27.03959032,3.767416968,0.382032794,9.861501501,6.11e-23,3.43e-22
"4716","ENSRNOG00000009646","Nyx",23.6240018,3.334679795,0.368216757,9.056295597,1.35e-19,6.83e-19
"4758","ENSRNOG00000009736","A4galt",2.179315178,5.128364258,1.458530044,3.516118353,0.000437906,0.000988546
"4777","ENSRNOG00000009779","Krt8",46.74924205,3.311013754,0.274800037,12.04881118,1.97e-33,1.46e-32
"4789","ENSRNOG00000009802","Fam124a",23.46635826,7.925131482,1.598021065,4.959341059,7.07e-07,2e-06
"4811","ENSRNOG00000009848","Il18",6.587992266,3.748019727,0.764578464,4.902073368,9.48e-07,2.66e-06
"4835","ENSRNOG00000009892","Adamts15",151.9150847,6.106674086,0.245614769,24.86281304,1.88e-136,5.24e-135
"4878","ENSRNOG00000009980","Plpp1",6191.125178,2.038690824,0.054368328,37.49776542,1e-307,8.61e-306
"4908","ENSRNOG00000010047","Ddit4l",76.23212171,3.822047164,0.230419276,16.58735861,8.6e-62,1.05e-60
"4943","ENSRNOG00000010107","Palldl1",6292.341964,2.153122,0.110818294,19.42930112,4.36e-84,7.13e-83
"4995","ENSRNOG00000010205","Mturn",90.49105916,4.419088116,0.237787677,18.58417632,4.32e-77,6.45e-76
"5046","ENSRNOG00000010302","Rasl10b",467.1517596,5.029601687,0.142233563,35.36156724,6.66e-274,4.78e-272
"5086","ENSRNOG00000010389","Ndrg2",783.6917055,5.857087239,0.109806115,53.34026482,0,0
"5131","ENSRNOG00000010478","LOC299282",265.0003183,11.52768135,1.024735813,11.24941786,2.33e-29,1.56e-28
"5150","ENSRNOG00000010517","Fam126a",1544.632734,2.991950119,0.141566394,21.13460711,3.82e-99,7.36e-98
"5234","ENSRNOG00000010655","Mttp",10.72307926,3.249403318,0.576023005,5.641099902,1.69e-08,5.32e-08
"5242","ENSRNOG00000010666","Ccn5",4664.329413,2.94658423,0.043403886,67.88756748,0,0
"5316","ENSRNOG00000010805","Fabp4",28.97621168,5.291391779,0.433641679,12.2022214,3.02e-34,2.29e-33
"5330","ENSRNOG00000010832","Pdgfrl",993.2869302,2.124539126,0.074427227,28.54518722,3.22e-179,1.28e-177
"5355","ENSRNOG00000010885","Zyg11a",5.438999352,6.791842517,1.339130417,5.07183052,3.94e-07,1.14e-06
"5460","ENSRNOG00000011068","Papss2",2101.292604,2.167733411,0.053521855,40.50183624,0,0
"5462","ENSRNOG00000011071","Nt5e",2254.600706,4.986556445,0.070846526,70.38533421,0,0
"5509","ENSRNOG00000011160","Sv2b",64.6214582,7.054212739,0.501091576,14.07769174,5.21e-45,4.86e-44
"5523","ENSRNOG00000011184","Slc13a4",14.91667932,8.171068013,1.228088037,6.653487182,2.86e-11,1.04e-10
