ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000011680,Il16,14.22558421,2.287746039,0.504235887,4.537055171,5.70E-06,1.52E-05
ENSRNOG00000011696,Lifr,361.8897554,4.020097977,0.190992698,21.04843809,2.36E-98,4.50E-97
ENSRNOG00000011750,Fam180a,65.91768425,10.38412927,1.18946326,8.730096698,2.54E-18,1.23E-17
ENSRNOG00000011800,F3,1381.362721,3.107709289,0.059509071,52.2224468,0,0
ENSRNOG00000011808,Ghrhr,12.81227239,3.193327674,0.481794387,6.627988533,3.40E-11,1.24E-10
ENSRNOG00000011815,Sgk1,3014.014209,3.029521869,0.050493997,59.99766381,0,0
ENSRNOG00000011882,Gab2,551.8537,2.070667406,0.108044188,19.16500496,7.25E-82,1.15E-80
ENSRNOG00000011907,Krt23,66.17536973,7.90473714,0.612748353,12.90046248,4.47E-38,3.68E-37
ENSRNOG00000011913,Cp,375.249862,4.270460549,0.118569415,36.01654398,4.61E-284,3.51E-282
ENSRNOG00000011946,Ptn,97.60324541,3.003608261,0.198416092,15.13792674,9.10E-52,9.58E-51
ENSRNOG00000011971,C1s,1413.693676,2.502279555,0.061594709,40.62491067,0,0
ENSRNOG00000012027,Bco1,22.28974532,9.802239676,1.2122489,8.085995933,6.17E-16,2.75E-15
ENSRNOG00000012036,Pcsk5,498.6901744,2.682923903,0.097425824,27.53811861,6.14E-167,2.21E-165
ENSRNOG00000012040,Slc25a48,13.06136608,8.063810121,1.238439316,6.511267863,7.45E-11,2.67E-10
ENSRNOG00000012060,Gucy1b1,157.4491379,5.637977653,0.236721464,23.81692632,2.23E-125,5.58E-124
ENSRNOG00000012109,Otulinl,21.93348305,3.338293223,0.372680172,8.957528405,3.32E-19,1.66E-18
ENSRNOG00000012183,Glrx,6080.453761,6.523988171,0.059576694,109.5057107,0,0
ENSRNOG00000012280,Ptx3,193.6384233,5.31130352,0.176501807,30.09206311,6.15E-199,2.87E-197
ENSRNOG00000012302,Gucy1a1,89.06029537,4.597852337,0.272434605,16.87690275,6.65E-64,8.32E-63
ENSRNOG00000012325,Adk,2700.04835,2.261553752,0.053837172,42.00729095,0,0
ENSRNOG00000012344,Slc7a9,1.793668988,4.61682501,1.57540253,2.930568488,0.003383424,0.006893939
ENSRNOG00000012364,Prickle2,1453.798887,2.965046012,0.125082839,23.70465872,3.23E-124,7.85E-123
ENSRNOG00000012584,Aamdc,65.46141801,2.139270262,0.18289834,11.69649906,1.33E-31,9.44E-31
ENSRNOG00000012663,Mfsd6,25.58000307,2.030367866,0.317383886,6.397198971,1.58E-10,5.60E-10
